Label,Total workflow time,bb_to_pfs__nprocs,bb_to_pfs__sleep-interval,bb_to_pfs__walltime_savanna,gtc__dest,gtc__openmp,gtc__perform_cr,gtc__walltime_savanna,io_time,run_dir,total_step_time,total step time w/o io
1 ppn,379.24,512,1,379.24,bb,6,1,234.68,136.12,kmehta/gtc-bb-0/run-0.iteration-0,210.28,74.16
1 ppn,377,512,1,377,bb,6,1,238.51,137.47,kmehta/gtc-bb-4/run-0.iteration-0,212.07,74.6
1 ppn,348.5,512,1,348.5,bb,6,1,237.34,135.96,kmehta/gtc-bb-3/run-0.iteration-0,209.9,73.94
1 ppn,352.98,512,1,352.98,bb,6,1,234.41,134.94,kmehta/gtc-bb-2/run-0.iteration-0,209.07,74.13
2 ppn,240.83,1024,1,240.83,bb,6,1,236.22,132.89,kmehta/gtc-bb-0/run-1.iteration-0,210.97,78.08
2 ppn,253.77,1024,1,253.77,bb,6,1,236.6,132.89,kmehta/gtc-bb-4/run-1.iteration-0,210.73,77.84
2 ppn,244.52,1024,1,244.52,bb,6,1,238.46,132.54,kmehta/gtc-bb-3/run-1.iteration-0,211,78.46
2 ppn,240.98,1024,1,240.98,bb,6,1,237.07,132.12,kmehta/gtc-bb-2/run-1.iteration-0,210.99,78.87
3 ppn,218.5,1536,1,218.5,bb,6,1,241.38,133.85,kmehta/gtc-bb-0/run-2.iteration-0,214.24,80.39
3 ppn,221.23,1536,1,221.23,bb,6,1,240.7,135.83,kmehta/gtc-bb-4/run-2.iteration-0,214.57,78.74
3 ppn,230.05,1536,1,230.05,bb,6,1,240.22,134.53,kmehta/gtc-bb-2/run-2.iteration-0,213.55,79.02
4 ppn,219.68,2048,1,219.68,bb,6,1,247.88,143.31,kmehta/gtc-bb-0/run-3.iteration-0,220.96,77.65
4 ppn,261.63,2048,1,261.63,bb,6,1,260.73,152.34,kmehta/gtc-bb-4/run-3.iteration-0,234.03,81.69
4 ppn,224.69,2048,1,224.69,bb,6,1,245.87,142.22,kmehta/gtc-bb-3/run-3.iteration-0,220.07,77.85
4 ppn,229.11,2048,1,229.11,bb,6,1,248.78,143.9,kmehta/gtc-bb-2/run-3.iteration-0,221.13,77.23
5 ppn,228.49,2560,1,228.49,bb,6,1,248.12,145.29,kmehta/gtc-bb-0/run-4.iteration-0,220.94,75.65
5 ppn,222.5,2560,1,222.5,bb,6,1,247.34,144.78,kmehta/gtc-bb-4/run-4.iteration-0,221.14,76.36
5 ppn,232.36,2560,1,232.36,bb,6,1,257.85,144.76,kmehta/gtc-bb-3/run-4.iteration-0,221.8,77.04
5 ppn,277.12,2560,1,277.12,bb,6,1,250.09,147.14,kmehta/gtc-bb-2/run-4.iteration-0,223.06,75.92
6 ppn,199.82,3072,1,199.82,bb,6,1,249.77,146.62,kmehta/gtc-bb-0/run-5.iteration-0,221.89,75.27
6 ppn,206.47,3072,1,206.47,bb,6,1,250.48,146.98,kmehta/gtc-bb-4/run-5.iteration-0,223.36,76.38
6 ppn,205.88,3072,1,205.88,bb,6,1,254.25,148.46,kmehta/gtc-bb-3/run-5.iteration-0,225.36,76.9
6 ppn,207.27,3072,1,207.27,bb,6,1,252.08,149,kmehta/gtc-bb-2/run-5.iteration-0,225.45,76.45
pfs-omp: 7-noio,95.5,,,,pfs,7,0,95.5,,kmehta/gtc-pfs-7-no-io-2/run-0.iteration-0,71.28,71.28
pfs-omp: 7-noio,104.52,,,,pfs,7,0,104.52,,kmehta/gtc-pfs-7-no-io-2/run-0.iteration-1,70.98,70.98
pfs-omp: 7-noio,97.6,,,,pfs,7,0,97.6,,kmehta/gtc-pfs-7-no-io-2/run-0.iteration-2,70.94,70.94
pfs-omp: 7-noio,94.05,,,,pfs,7,0,94.05,,kmehta/gtc-pfs-7-no-io-2/run-0.iteration-3,70.67,70.67
pfs-omp: 7-noio,95.5,,,,pfs,7,0,95.5,,kmehta/gtc-pfs-7-no-io-2/run-0.iteration-4,71.02,71.02
pfs-omp: 7-noio,94.55,,,,pfs,7,0,94.55,,kmehta/gtc-pfs-7-no-io-2/run-0.iteration-5,70.9,70.9
pfs-omp: 7-noio,94.35,,,,pfs,7,0,94.35,,kmehta/gtc-pfs-7-no-io-3/run-0.iteration-1,70.78,70.78
pfs-omp: 7-noio,93.44,,,,pfs,7,0,93.44,,kmehta/gtc-pfs-7-no-io-3/run-0.iteration-2,70.55,70.55
pfs-omp: 7-noio,95.1,,,,pfs,7,0,95.1,,kmehta/gtc-pfs-7-no-io-3/run-0.iteration-3,70.76,70.76
pfs-omp: 7-noio,94.4,,,,pfs,7,0,94.4,,kmehta/gtc-pfs-7-no-io-3/run-0.iteration-4,70.68,70.68
pfs-omp: 7-noio,95.4,,,,pfs,7,0,95.4,,kmehta/gtc-pfs-7-no-io-3/run-0.iteration-5,70.8,70.8
pfs-omp: 7-noio,96.8,,,,pfs,7,0,96.8,,kmehta/gtc-pfs-7-no-io-4/run-0.iteration-0,70.56,70.56
pfs-omp: 7-noio,94.34,,,,pfs,7,0,94.34,,kmehta/gtc-pfs-7-no-io-4/run-0.iteration-1,70.54,70.54
pfs-omp: 7-noio,94.19,,,,pfs,7,0,94.19,,kmehta/gtc-pfs-7-no-io-4/run-0.iteration-2,70.6,70.6
pfs-omp: 7-noio,94.95,,,,pfs,7,0,94.95,,kmehta/gtc-pfs-7-no-io-4/run-0.iteration-3,70.49,70.49
pfs-omp: 7-noio,93.74,,,,pfs,7,0,93.74,,kmehta/gtc-pfs-7-no-io-4/run-0.iteration-4,70.58,70.58
pfs-omp: 7-noio,95.1,,,,pfs,7,0,95.1,,kmehta/gtc-pfs-7-no-io-4/run-0.iteration-5,70.53,70.53
pfs-omp: 7-noio,96.1,,,,pfs,7,0,96.1,,kmehta/gtc-pfs-7-no-io-1/run-0.iteration-0,70.9,70.9
pfs-omp: 7-noio,107.17,,,,pfs,7,0,107.17,,kmehta/gtc-pfs-7-no-io-1/run-0.iteration-1,70.78,70.78
pfs-omp: 7-noio,94.3,,,,pfs,7,0,94.3,,kmehta/gtc-pfs-7-no-io-1/run-0.iteration-2,70.71,70.71
pfs-omp: 7-noio,94.85,,,,pfs,7,0,94.85,,kmehta/gtc-pfs-7-no-io-1/run-0.iteration-3,70.92,70.92
pfs-omp: 7-noio,94.55,,,,pfs,7,0,94.55,,kmehta/gtc-pfs-7-no-io-1/run-0.iteration-4,70.81,70.81
pfs-omp: 7-noio,94.34,,,,pfs,7,0,94.34,,kmehta/gtc-pfs-7-no-io-1/run-0.iteration-5,70.91,70.91
pfs-omp: 7-noio,94.95,,,,pfs,7,0,94.95,,kmehta/gtc-pfs-7-no-io-0/run-0.iteration-0,70.67,70.67
pfs-omp: 7-noio,93.74,,,,pfs,7,0,93.74,,kmehta/gtc-pfs-7-no-io-0/run-0.iteration-1,70.66,70.66
pfs-omp: 7-noio,94.64,,,,pfs,7,0,94.64,,kmehta/gtc-pfs-7-no-io-0/run-0.iteration-2,70.62,70.62
pfs-omp: 7-noio,94.59,,,,pfs,7,0,94.59,,kmehta/gtc-pfs-7-no-io-0/run-0.iteration-3,70.89,70.89
pfs-omp: 7-noio,94.99,,,,pfs,7,0,94.99,,kmehta/gtc-pfs-7-no-io-0/run-0.iteration-4,70.9,70.9
pfs-omp: 7-noio,93.89,,,,pfs,7,0,93.89,,kmehta/gtc-pfs-7-no-io-0/run-0.iteration-5,70.64,70.64
pfs-omp: 7,194.49,,,,pfs,7,1,194.49,98.59,kmehta/gtc-pfs-7-1/run-0.iteration-0,169.3,70.71
pfs-omp: 7,225.92,,,,pfs,7,1,225.92,129.78,kmehta/gtc-pfs-7-0/run-0.iteration-0,201.1,71.32
pfs-omp: 7,202.51,,,,pfs,7,1,202.51,105.73,kmehta/gtc-pfs-7-2/run-0.iteration-0,176.09,70.36
pfs-omp: 7,200.39,,,,pfs,7,1,200.39,103.88,kmehta/gtc-pfs-7-4/run-0.iteration-0,174.34,70.46
