Label,Step id,Step time
1 ppn,1,138.75
1 ppn,2,2.14
1 ppn,3,1.4
1 ppn,4,1.4
1 ppn,5,1.52
1 ppn,6,1.41
1 ppn,7,1.41
1 ppn,8,1.47
1 ppn,9,1.42
1 ppn,10,1.44
1 ppn,11,1.42
1 ppn,12,1.5
1 ppn,13,1.38
1 ppn,14,1.4
1 ppn,15,1.45
1 ppn,16,1.42
1 ppn,17,1.48
1 ppn,18,1.5
1 ppn,19,1.4
1 ppn,20,1.51
1 ppn,21,1.43
1 ppn,22,1.41
1 ppn,23,1.41
1 ppn,24,1.51
1 ppn,25,1.43
1 ppn,26,1.42
1 ppn,27,1.42
1 ppn,28,1.38
1 ppn,29,1.37
1 ppn,30,1.44
1 ppn,31,1.43
1 ppn,32,1.39
1 ppn,33,1.39
1 ppn,34,1.49
1 ppn,35,1.49
1 ppn,36,1.41
1 ppn,37,1.4
1 ppn,38,1.38
1 ppn,39,1.37
1 ppn,40,1.52
1 ppn,41,1.41
1 ppn,42,1.4
1 ppn,43,1.41
1 ppn,44,1.41
1 ppn,45,1.43
1 ppn,46,1.58
1 ppn,47,1.62
1 ppn,48,1.66
1 ppn,49,1.62
1 ppn,50,1.43
