Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
0ppn-128MB-5sec,1,1,2.57,1.96,0.61
0ppn-128MB-5sec,1,2,2.03,1.78,0.25
0ppn-128MB-5sec,1,3,2.01,1.75,0.26
0ppn-128MB-5sec,1,4,2.03,1.76,0.27
0ppn-128MB-5sec,1,5,2.09,1.81,0.28
0ppn-128MB-5sec,1,6,2.03,1.76,0.27
0ppn-128MB-5sec,1,7,2.07,1.78,0.29
0ppn-128MB-5sec,1,8,2.01,1.73,0.28
0ppn-128MB-5sec,1,9,2.02,1.75,0.27
0ppn-128MB-5sec,1,10,2.05,1.74,0.31
0ppn-128MB-5sec,1,11,2.06,1.78,0.28
0ppn-128MB-5sec,1,12,2.03,1.76,0.27
0ppn-128MB-5sec,1,13,2.12,1.82,0.3
0ppn-128MB-5sec,1,14,2.01,1.74,0.27
0ppn-128MB-5sec,1,15,2.04,1.76,0.28
0ppn-128MB-5sec,1,16,2.02,1.74,0.28
0ppn-128MB-5sec,1,17,2.02,1.74,0.28
0ppn-128MB-5sec,1,18,2.05,1.74,0.31
0ppn-128MB-5sec,1,19,2.04,1.76,0.28
0ppn-128MB-5sec,1,20,2.08,1.8,0.28
0ppn-128MB-5sec,1,21,2.01,1.73,0.28
0ppn-128MB-5sec,1,22,2.0,1.73,0.27
0ppn-128MB-5sec,1,23,2.04,1.75,0.29
0ppn-128MB-5sec,1,24,2.01,1.73,0.28
0ppn-128MB-5sec,1,25,2.01,1.73,0.28
0ppn-128MB-5sec,1,26,2.02,1.74,0.28
0ppn-128MB-5sec,1,27,2.05,1.77,0.28
0ppn-128MB-5sec,1,28,2.06,1.76,0.3
0ppn-128MB-5sec,1,29,2.05,1.77,0.28
0ppn-128MB-5sec,1,30,2.03,1.75,0.28
0ppn-128MB-5sec,1,31,2.07,1.79,0.28
0ppn-128MB-5sec,1,32,2.02,1.74,0.28
0ppn-128MB-5sec,1,33,2.03,1.74,0.29
0ppn-128MB-5sec,1,34,2.01,1.73,0.28
0ppn-128MB-5sec,1,35,2.01,1.73,0.28
0ppn-128MB-5sec,1,36,2.02,1.74,0.28
0ppn-128MB-5sec,1,37,2.03,1.75,0.28
0ppn-128MB-5sec,1,38,2.05,1.76,0.29
0ppn-128MB-5sec,1,39,2.06,1.78,0.28
0ppn-128MB-5sec,1,40,2.02,1.73,0.29
0ppn-128MB-5sec,1,41,2.01,1.73,0.28
0ppn-128MB-5sec,1,42,2.02,1.74,0.28
0ppn-128MB-5sec,1,43,2.02,1.73,0.29
0ppn-128MB-5sec,1,44,2.01,1.72,0.29
0ppn-128MB-5sec,1,45,2.01,1.72,0.29
0ppn-128MB-5sec,1,46,2.0,1.73,0.27
0ppn-128MB-5sec,1,47,2.01,1.73,0.28
0ppn-128MB-5sec,1,48,2.02,1.73,0.29
0ppn-128MB-5sec,1,49,2.03,1.74,0.29
0ppn-128MB-5sec,1,50,2.08,1.79,0.29
0ppn-128MB-5sec,1,51,2.08,1.8,0.28
0ppn-128MB-5sec,1,52,2.0,1.73,0.27
0ppn-128MB-5sec,1,53,2.03,1.76,0.27
0ppn-128MB-5sec,1,54,2.02,1.74,0.28
0ppn-128MB-5sec,1,55,2.03,1.75,0.28
0ppn-128MB-5sec,1,56,2.01,1.73,0.28
0ppn-128MB-5sec,1,57,2.01,1.74,0.27
0ppn-128MB-5sec,1,58,2.0,1.72,0.28
0ppn-128MB-5sec,1,59,2.0,1.73,0.27
0ppn-128MB-5sec,1,60,2.0,1.72,0.28
0ppn-128MB-5sec,1,61,2.02,1.75,0.27
0ppn-128MB-5sec,1,62,2.02,1.75,0.27
0ppn-128MB-5sec,1,63,2.0,1.72,0.28
0ppn-128MB-5sec,1,64,2.01,1.74,0.27
0ppn-128MB-5sec,1,65,2.07,1.78,0.29
0ppn-128MB-5sec,1,66,2.06,1.79,0.27
0ppn-128MB-5sec,1,67,2.01,1.73,0.28
0ppn-128MB-5sec,1,68,2.01,1.73,0.28
