Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
no-io,1,1,1.84,1.84,0
no-io,1,2,1.75,1.75,0
no-io,1,3,1.78,1.78,0
no-io,1,4,1.75,1.75,0
no-io,1,5,1.73,1.73,0
no-io,1,6,1.73,1.73,0
no-io,1,7,1.73,1.73,0
no-io,1,8,1.86,1.86,0
no-io,1,9,1.73,1.73,0
no-io,1,10,1.77,1.77,0
no-io,1,11,1.73,1.73,0
no-io,1,12,1.75,1.75,0
no-io,1,13,1.79,1.79,0
no-io,1,14,1.79,1.79,0
no-io,1,15,1.73,1.73,0
no-io,1,16,1.74,1.74,0
no-io,1,17,1.73,1.73,0
no-io,1,18,1.73,1.73,0
no-io,1,19,1.74,1.74,0
no-io,1,20,1.8,1.8,0
no-io,1,21,1.79,1.79,0
no-io,1,22,1.79,1.79,0
no-io,1,23,1.76,1.76,0
no-io,1,24,1.75,1.75,0
no-io,1,25,1.73,1.73,0
no-io,1,26,1.73,1.73,0
no-io,1,27,1.77,1.77,0
no-io,1,28,1.77,1.77,0
no-io,1,29,1.77,1.77,0
no-io,1,30,1.79,1.79,0
no-io,1,31,1.74,1.74,0
no-io,1,32,1.74,1.74,0
no-io,1,33,1.73,1.73,0
no-io,1,34,1.73,1.73,0
no-io,1,35,1.75,1.75,0
no-io,1,36,1.77,1.77,0
no-io,1,37,1.73,1.73,0
no-io,1,38,1.78,1.78,0
no-io,1,39,1.77,1.77,0
no-io,1,40,1.76,1.76,0
no-io,1,41,1.77,1.77,0
no-io,1,42,1.75,1.75,0
no-io,1,43,1.74,1.74,0
no-io,1,44,1.74,1.74,0
no-io,1,45,1.73,1.73,0
no-io,1,46,1.74,1.74,0
no-io,1,47,1.79,1.79,0
no-io,1,48,1.75,1.75,0
no-io,1,49,1.73,1.73,0
no-io,1,50,1.78,1.78,0
no-io,1,51,1.73,1.73,0
no-io,1,52,1.73,1.73,0
no-io,1,53,1.76,1.76,0
no-io,1,54,1.74,1.74,0
no-io,1,55,1.75,1.75,0
no-io,1,56,1.76,1.76,0
no-io,1,57,1.75,1.75,0
no-io,1,58,1.75,1.75,0
no-io,1,59,1.75,1.75,0
no-io,1,60,1.75,1.75,0
no-io,1,61,1.73,1.73,0
no-io,1,62,1.74,1.74,0
no-io,1,63,1.74,1.74,0
no-io,1,64,1.81,1.81,0
no-io,1,65,1.76,1.76,0
no-io,1,66,1.74,1.74,0
no-io,1,67,1.74,1.74,0
no-io,1,68,1.74,1.74,0
no-io,1,69,1.74,1.74,0
no-io,1,70,1.73,1.73,0
no-io,1,71,1.76,1.76,0
no-io,1,72,1.75,1.75,0
no-io,1,73,1.73,1.73,0
no-io,1,74,1.76,1.76,0
no-io,1,75,1.79,1.79,0
no-io,1,76,1.73,1.73,0
no-io,1,77,1.73,1.73,0
no-io,1,78,1.73,1.73,0
no-io,1,79,1.74,1.74,0
no-io,1,80,1.79,1.79,0
no-io,1,81,1.75,1.75,0
no-io,1,82,1.75,1.75,0
no-io,1,83,1.75,1.75,0
no-io,1,84,1.73,1.73,0
no-io,1,85,1.75,1.75,0
no-io,1,86,1.74,1.74,0
no-io,1,87,1.74,1.74,0
no-io,1,88,1.74,1.74,0
no-io,1,89,1.76,1.76,0
no-io,1,90,1.75,1.75,0
no-io,1,91,1.77,1.77,0
no-io,1,92,1.78,1.78,0
no-io,1,93,1.72,1.72,0
no-io,1,94,1.75,1.75,0
no-io,1,95,1.73,1.73,0
no-io,1,96,1.73,1.73,0
no-io,1,97,1.77,1.77,0
no-io,1,98,1.78,1.78,0
no-io,1,99,1.76,1.76,0
no-io,1,100,1.74,1.74,0
no-io,1,101,1.74,1.74,0
no-io,1,102,1.73,1.73,0
no-io,1,103,1.75,1.75,0
no-io,1,104,1.73,1.73,0
no-io,1,105,1.73,1.73,0
no-io,1,106,1.78,1.78,0
no-io,1,107,1.74,1.74,0
no-io,1,108,1.76,1.76,0
no-io,1,109,1.77,1.77,0
no-io,1,110,1.75,1.75,0
no-io,1,111,1.73,1.73,0
no-io,1,112,1.73,1.73,0
no-io,1,113,1.73,1.73,0
no-io,1,114,1.76,1.76,0
no-io,1,115,1.78,1.78,0
no-io,1,116,1.73,1.73,0
no-io,1,117,1.78,1.78,0
no-io,1,118,1.73,1.73,0
no-io,1,119,1.73,1.73,0
no-io,1,120,1.75,1.75,0
no-io,1,121,1.74,1.74,0
no-io,1,122,1.73,1.73,0
no-io,1,123,1.76,1.76,0
no-io,1,124,1.75,1.75,0
no-io,1,125,1.77,1.77,0
no-io,1,126,1.74,1.74,0
no-io,1,127,1.75,1.75,0
no-io,1,128,1.73,1.73,0
no-io,1,129,1.75,1.75,0
no-io,1,130,1.73,1.73,0
no-io,1,131,1.75,1.75,0
no-io,1,132,1.79,1.79,0
no-io,1,133,,0.0,0
no-io,2,1,1.8,1.8,0
no-io,2,2,1.89,1.89,0
no-io,2,3,1.74,1.74,0
no-io,2,4,1.81,1.81,0
no-io,2,5,1.74,1.74,0
no-io,2,6,1.73,1.73,0
no-io,2,7,1.82,1.82,0
no-io,2,8,1.78,1.78,0
no-io,2,9,1.77,1.77,0
no-io,2,10,1.73,1.73,0
no-io,2,11,1.8,1.8,0
no-io,2,12,1.81,1.81,0
no-io,2,13,1.75,1.75,0
no-io,2,14,1.76,1.76,0
no-io,2,15,1.75,1.75,0
no-io,2,16,1.76,1.76,0
no-io,2,17,1.73,1.73,0
no-io,2,18,1.75,1.75,0
no-io,2,19,1.84,1.84,0
no-io,2,20,1.89,1.89,0
no-io,2,21,1.73,1.73,0
no-io,2,22,1.74,1.74,0
no-io,2,23,1.75,1.75,0
no-io,2,24,1.77,1.77,0
no-io,2,25,1.74,1.74,0
no-io,2,26,1.76,1.76,0
no-io,2,27,1.84,1.84,0
no-io,2,28,1.78,1.78,0
no-io,2,29,1.73,1.73,0
no-io,2,30,1.74,1.74,0
no-io,2,31,1.75,1.75,0
no-io,2,32,1.79,1.79,0
no-io,2,33,1.75,1.75,0
no-io,2,34,1.73,1.73,0
no-io,2,35,1.73,1.73,0
no-io,2,36,1.75,1.75,0
no-io,2,37,1.83,1.83,0
no-io,2,38,1.82,1.82,0
no-io,2,39,1.73,1.73,0
no-io,2,40,1.79,1.79,0
no-io,2,41,1.76,1.76,0
no-io,2,42,1.75,1.75,0
no-io,2,43,1.74,1.74,0
no-io,2,44,1.74,1.74,0
no-io,2,45,1.77,1.77,0
no-io,2,46,1.74,1.74,0
no-io,2,47,1.73,1.73,0
no-io,2,48,1.8,1.8,0
no-io,2,49,1.8,1.8,0
no-io,2,50,1.81,1.81,0
no-io,2,51,1.74,1.74,0
no-io,2,52,1.73,1.73,0
no-io,2,53,1.74,1.74,0
no-io,2,54,1.78,1.78,0
no-io,2,55,1.74,1.74,0
no-io,2,56,1.75,1.75,0
no-io,2,57,1.77,1.77,0
no-io,2,58,1.78,1.78,0
no-io,2,59,1.73,1.73,0
no-io,2,60,1.74,1.74,0
no-io,2,61,1.73,1.73,0
no-io,2,62,1.77,1.77,0
no-io,2,63,1.78,1.78,0
no-io,2,64,1.78,1.78,0
no-io,2,65,1.76,1.76,0
no-io,2,66,1.81,1.81,0
no-io,2,67,1.74,1.74,0
no-io,2,68,1.74,1.74,0
no-io,2,69,1.73,1.73,0
no-io,2,70,1.73,1.73,0
no-io,2,71,1.8,1.8,0
no-io,2,72,1.74,1.74,0
no-io,2,73,1.73,1.73,0
no-io,2,74,1.77,1.77,0
no-io,2,75,1.78,1.78,0
no-io,2,76,1.73,1.73,0
no-io,2,77,1.73,1.73,0
no-io,2,78,1.73,1.73,0
no-io,2,79,1.81,1.81,0
no-io,2,80,1.8,1.8,0
no-io,2,81,1.74,1.74,0
no-io,2,82,1.77,1.77,0
no-io,2,83,1.79,1.79,0
no-io,2,84,1.74,1.74,0
no-io,2,85,1.73,1.73,0
