Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
1ppn-all-1sec,1,1,2.6,1.91,0.69
1ppn-all-1sec,1,2,2.07,1.72,0.35
1ppn-all-1sec,1,3,2.02,1.74,0.28
1ppn-all-1sec,1,4,2.1,1.76,0.34
1ppn-all-1sec,1,5,2.15,1.82,0.33
1ppn-all-1sec,1,6,2.13,1.78,0.35
1ppn-all-1sec,1,7,2.12,1.75,0.37
1ppn-all-1sec,1,8,2.09,1.74,0.35
1ppn-all-1sec,1,9,2.03,1.75,0.28
1ppn-all-1sec,1,10,2.14,1.74,0.4
1ppn-all-1sec,1,11,2.2,1.82,0.38
1ppn-all-1sec,1,12,2.13,1.77,0.36
1ppn-all-1sec,1,13,2.13,1.76,0.37
1ppn-all-1sec,1,14,2.03,1.73,0.3
1ppn-all-1sec,1,15,2.02,1.73,0.29
1ppn-all-1sec,1,16,2.11,1.73,0.38
1ppn-all-1sec,1,17,2.13,1.77,0.36
1ppn-all-1sec,1,18,2.12,1.77,0.35
1ppn-all-1sec,1,19,2.07,1.73,0.34
1ppn-all-1sec,1,20,2.05,1.73,0.32
1ppn-all-1sec,1,21,2.15,1.77,0.38
1ppn-all-1sec,1,22,2.12,1.79,0.33
1ppn-all-1sec,1,23,2.1,1.72,0.38
1ppn-all-1sec,1,24,2.04,1.73,0.31
1ppn-all-1sec,1,25,2.09,1.75,0.34
1ppn-all-1sec,1,26,2.13,1.78,0.35
1ppn-all-1sec,1,27,2.09,1.74,0.35
1ppn-all-1sec,1,28,2.11,1.75,0.36
1ppn-all-1sec,1,29,2.01,1.72,0.29
1ppn-all-1sec,1,30,2.02,1.74,0.28
1ppn-all-1sec,1,31,2.13,1.76,0.37
1ppn-all-1sec,1,32,2.17,1.78,0.39
1ppn-all-1sec,1,33,2.12,1.74,0.38
1ppn-all-1sec,1,34,2.09,1.75,0.34
1ppn-all-1sec,1,35,2.12,1.74,0.38
1ppn-all-1sec,1,36,2.12,1.77,0.35
1ppn-all-1sec,1,37,2.05,1.74,0.31
1ppn-all-1sec,1,38,2.08,1.73,0.35
1ppn-all-1sec,1,39,2.07,1.73,0.34
1ppn-all-1sec,1,40,2.01,1.73,0.28
1ppn-all-1sec,1,41,2.07,1.72,0.35
1ppn-all-1sec,1,42,2.09,1.74,0.35
1ppn-all-1sec,1,43,2.11,1.72,0.39
1ppn-all-1sec,1,44,2.05,1.77,0.28
1ppn-all-1sec,1,45,2.13,1.79,0.34
1ppn-all-1sec,1,46,2.06,1.72,0.34
1ppn-all-1sec,1,47,2.09,1.75,0.34
1ppn-all-1sec,1,48,2.12,1.76,0.36
1ppn-all-1sec,1,49,2.13,1.74,0.39
1ppn-all-1sec,1,50,2.09,1.73,0.36
1ppn-all-1sec,1,51,2.13,1.77,0.36
1ppn-all-1sec,1,52,2.01,1.73,0.28
1ppn-all-1sec,1,53,2.01,1.73,0.28
1ppn-all-1sec,1,54,2.07,1.72,0.35
1ppn-all-1sec,1,55,2.09,1.74,0.35
1ppn-all-1sec,1,56,2.06,1.73,0.33
1ppn-all-1sec,1,57,2.08,1.74,0.34
1ppn-all-1sec,1,58,2.02,1.73,0.29
1ppn-all-1sec,1,59,2.1,1.76,0.34
1ppn-all-1sec,1,60,2.12,1.78,0.34
1ppn-all-1sec,1,61,2.04,1.76,0.28
1ppn-all-1sec,1,62,2.11,1.76,0.35
