Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
8ppn-flush-end,1,1,2.55,1.87,0.68
8ppn-flush-end,1,2,2.04,1.77,0.27
8ppn-flush-end,1,3,2.04,1.77,0.27
8ppn-flush-end,1,4,2.03,1.76,0.27
8ppn-flush-end,1,5,2.04,1.77,0.27
8ppn-flush-end,1,6,2.12,1.84,0.28
8ppn-flush-end,1,7,2.04,1.76,0.28
8ppn-flush-end,1,8,2.03,1.75,0.28
8ppn-flush-end,1,9,2.01,1.73,0.28
8ppn-flush-end,1,10,2.09,1.78,0.31
8ppn-flush-end,1,11,2.04,1.76,0.28
8ppn-flush-end,1,12,2.05,1.77,0.28
8ppn-flush-end,1,13,2.12,1.84,0.28
8ppn-flush-end,1,14,2.01,1.73,0.28
8ppn-flush-end,1,15,2.01,1.73,0.28
8ppn-flush-end,1,16,2.03,1.74,0.29
8ppn-flush-end,1,17,2.01,1.73,0.28
8ppn-flush-end,1,18,2.04,1.76,0.28
8ppn-flush-end,1,19,2.02,1.74,0.28
8ppn-flush-end,1,20,2.02,1.74,0.28
8ppn-flush-end,1,21,2.04,1.76,0.28
8ppn-flush-end,1,22,2.1,1.82,0.28
8ppn-flush-end,1,23,2.01,1.73,0.28
8ppn-flush-end,1,24,2.01,1.73,0.28
8ppn-flush-end,1,25,2.01,1.73,0.28
8ppn-flush-end,1,26,2.05,1.76,0.29
8ppn-flush-end,1,27,2.03,1.75,0.28
8ppn-flush-end,1,28,2.05,1.77,0.28
8ppn-flush-end,1,29,2.03,1.75,0.28
8ppn-flush-end,1,30,2.02,1.74,0.28
8ppn-flush-end,1,31,2.01,1.73,0.28
8ppn-flush-end,1,32,2.01,1.73,0.28
8ppn-flush-end,1,33,2.07,1.79,0.28
8ppn-flush-end,1,34,2.07,1.79,0.28
8ppn-flush-end,1,35,2.02,1.73,0.29
8ppn-flush-end,1,36,2.03,1.75,0.28
8ppn-flush-end,1,37,2.05,1.76,0.29
8ppn-flush-end,1,38,2.02,1.74,0.28
8ppn-flush-end,1,39,2.02,1.73,0.29
8ppn-flush-end,1,40,2.01,1.73,0.28
8ppn-flush-end,1,41,2.01,1.73,0.28
8ppn-flush-end,1,42,2.01,1.72,0.29
8ppn-flush-end,1,43,2.01,1.73,0.28
8ppn-flush-end,1,44,2.02,1.72,0.3
8ppn-flush-end,1,45,2.03,1.75,0.28
8ppn-flush-end,1,46,2.06,1.78,0.28
8ppn-flush-end,1,47,2.02,1.74,0.28
8ppn-flush-end,1,48,2.02,1.74,0.28
8ppn-flush-end,1,49,2.05,1.77,0.28
8ppn-flush-end,1,50,2.0,1.72,0.28
8ppn-flush-end,1,51,2.02,1.74,0.28
8ppn-flush-end,1,52,2.04,1.76,0.28
8ppn-flush-end,1,53,2.0,1.72,0.28
8ppn-flush-end,1,54,2.0,1.72,0.28
8ppn-flush-end,1,55,2.0,1.73,0.27
8ppn-flush-end,1,56,2.02,1.73,0.29
8ppn-flush-end,1,57,2.0,1.72,0.28
8ppn-flush-end,1,58,2.01,1.73,0.28
8ppn-flush-end,1,59,2.01,1.73,0.28
8ppn-flush-end,1,60,2.02,1.73,0.29
8ppn-flush-end,1,61,2.09,1.81,0.28
8ppn-flush-end,1,62,2.01,1.73,0.28
8ppn-flush-end,1,63,2.0,1.73,0.27
8ppn-flush-end,1,64,2.09,1.82,0.27
8ppn-flush-end,1,65,2.0,1.73,0.27
8ppn-flush-end,1,66,2.0,1.73,0.27
8ppn-flush-end,1,67,2.0,1.73,0.27
8ppn-flush-end,1,68,2.0,1.73,0.27
8ppn-flush-end,1,69,2.01,1.73,0.28
8ppn-flush-end,1,70,1.99,1.72,0.27
8ppn-flush-end,1,71,2.0,1.73,0.27
8ppn-flush-end,1,72,1.99,1.73,0.26
8ppn-flush-end,1,73,2.0,1.73,0.27
8ppn-flush-end,1,74,2.0,1.73,0.27
8ppn-flush-end,1,75,2.0,1.74,0.26
8ppn-flush-end,1,76,2.03,1.76,0.27
8ppn-flush-end,1,77,2.01,1.74,0.27
8ppn-flush-end,1,78,2.0,1.73,0.27
8ppn-flush-end,1,79,2.01,1.74,0.27
8ppn-flush-end,1,80,2.02,1.75,0.27
8ppn-flush-end,1,81,1.99,1.73,0.26
8ppn-flush-end,1,82,2.03,1.76,0.27
8ppn-flush-end,1,83,1.99,1.73,0.26
