Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
PFS,1,1,2.61,1.82,0.79
PFS,1,2,2.0,1.74,0.26
PFS,1,3,2.0,1.73,0.27
PFS,1,4,2.02,1.75,0.27
PFS,1,5,2.05,1.78,0.27
PFS,1,6,2.22,1.88,0.34
PFS,1,7,2.34,1.81,0.53
PFS,1,8,2.31,2.04,0.27
PFS,1,9,2.0,1.72,0.28
PFS,1,10,2.1,1.8,0.3
PFS,1,11,2.01,1.73,0.28
PFS,1,12,2.23,1.8,0.43
PFS,1,13,2.09,1.81,0.28
PFS,1,14,2.31,1.73,0.58
PFS,1,15,2.0,1.71,0.29
PFS,1,16,2.26,1.73,0.53
PFS,1,17,2.08,1.8,0.28
PFS,1,18,2.14,1.73,0.41
PFS,1,19,2.01,1.73,0.28
PFS,1,20,2.25,1.85,0.4
PFS,1,21,2.07,1.79,0.28
PFS,1,22,2.04,1.75,0.29
PFS,1,23,2.01,1.73,0.28
PFS,1,24,2.01,1.73,0.28
PFS,1,25,2.07,1.79,0.28
PFS,1,26,2.05,1.77,0.28
PFS,1,27,2.12,1.75,0.37
PFS,1,28,2.03,1.74,0.29
PFS,1,29,2.0,1.72,0.28
PFS,1,30,2.02,1.74,0.28
PFS,1,31,2.01,1.72,0.29
PFS,1,32,2.09,1.81,0.28
PFS,1,33,2.22,1.85,0.37
PFS,1,34,2.01,1.73,0.28
PFS,1,35,2.01,1.73,0.28
PFS,1,36,4.15,1.72,2.43
PFS,1,37,2.14,1.86,0.28
PFS,1,38,2.43,1.72,0.71
PFS,1,39,2.0,1.72,0.28
PFS,1,40,2.19,1.75,0.44
PFS,1,41,2.13,1.85,0.28
PFS,1,42,2.3,1.75,0.55
PFS,1,43,2.2,1.92,0.28
PFS,1,44,2.08,1.78,0.3
PFS,1,45,2.02,1.74,0.28
PFS,1,46,2.11,1.75,0.36
PFS,1,47,2.06,1.78,0.28
PFS,1,48,2.06,1.78,0.28
PFS,1,49,2.05,1.77,0.28
PFS,1,50,2.02,1.74,0.28
